raw,speaker,text,line_number_n,ngram_text
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,ah bueno bueno
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,bueno bueno yo
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,bueno yo nací
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,yo nací en
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,nací en caracas
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,en caracas el
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,caracas el diez
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,el diez de
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,diez de octubre
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,de octubre de
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,octubre de mil
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,de mil novecientos
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,mil novecientos sesenta
