raw,speaker,text,line_number_n,ngram_text
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,ah bueno bueno yo nací en caracas
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,bueno bueno yo nací en caracas el
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,bueno yo nací en caracas el diez
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,yo nací en caracas el diez de
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,nací en caracas el diez de octubre
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,en caracas el diez de octubre de
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,caracas el diez de octubre de mil
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,el diez de octubre de mil novecientos
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,diez de octubre de mil novecientos sesenta
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, mis padres vivían en un apartamento en ,3,mis padres vivían en un apartamento en
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, en proyecto de construcción la casa en la castellana,5,en proyecto de construcción la casa en
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, en proyecto de construcción la casa en la castellana,5,proyecto de construcción la casa en la
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, en proyecto de construcción la casa en la castellana,5,de construcción la casa en la castellana
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, después que estuvo lista la casa soy sietemesino,6,después que estuvo lista la casa soy
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, después que estuvo lista la casa soy sietemesino,6,que estuvo lista la casa soy sietemesino
"Habl.: eh ... después que estuvo lista la casa nos mudamos para La Castellana y ... donde viví hasta los diez años de edad. Y después me mudé para acá, para la Florida, donde vi.. donde viví con mis abuelos hasta que los dos murieron ya de ... de avanzada edad. Eh ... ¿qué más?",Hablante, después que estuvo lista la casa nos mudamos para la castellana y ,9,después que estuvo lista la casa nos
"Habl.: eh ... después que estuvo lista la casa nos mudamos para La Castellana y ... donde viví hasta los diez años de edad. Y después me mudé para acá, para la Florida, donde vi.. donde viví con mis abuelos hasta que los dos murieron ya de ... de avanzada edad. Eh ... ¿qué más?",Hablante, después que estuvo lista la casa nos mudamos para la castellana y ,9,que estuvo lista la casa nos mudamos
"Habl.: eh ... después que estuvo lista la casa nos mudamos para La Castellana y ... donde viví hasta los diez años de edad. Y después me mudé para acá, para la Florida, donde vi.. donde viví con mis abuelos hasta que los dos murieron ya de ... de avanzada edad. Eh ... ¿qué más?",Hablante, después que estuvo lista la casa nos mudamos para la castellana y ,9,estuvo lista la casa nos mudamos para
"Habl.: eh ... después que estuvo lista la casa nos mudamos para La Castellana y ... donde viví hasta los diez años de edad. Y después me mudé para acá, para la Florida, donde vi.. donde viví con mis abuelos hasta que los dos murieron ya de ... de avanzada edad. Eh ... ¿qué más?",Hablante, después que estuvo lista la casa nos mudamos para la castellana y ,9,lista la casa nos mudamos para la
"Habl.: eh ... después que estuvo lista la casa nos mudamos para La Castellana y ... donde viví hasta los diez años de edad. Y después me mudé para acá, para la Florida, donde vi.. donde viví con mis abuelos hasta que los dos murieron ya de ... de avanzada edad. Eh ... ¿qué más?",Hablante, después que estuvo lista la casa nos mudamos para la castellana y ,9,la casa nos mudamos para la castellana
"Habl.: eh ... después que estuvo lista la casa nos mudamos para La Castellana y ... donde viví hasta los diez años de edad. Y después me mudé para acá, para la Florida, donde vi.. donde viví con mis abuelos hasta que los dos murieron ya de ... de avanzada edad. Eh ... ¿qué más?",Hablante, después que estuvo lista la casa nos mudamos para la castellana y ,9,casa nos mudamos para la castellana y
