"full","file","name","dur"
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA1HA_87.mp3","CA1HA_87.mp3","CA1HA_87",1875.49
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA1HC_87.mp3","CA1HC_87.mp3","CA1HC_87",1755.17
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA1HD_05.mp3","CA1HD_05.mp3","CA1HD_05",2952.11
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA1HG_09.mp3","CA1HG_09.mp3","CA1HG_09",2737.74
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA2HA_04.mp3","CA2HA_04.mp3","CA2HA_04",3181.18
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA2HB_87.mp3","CA2HB_87.mp3","CA2HB_87",1827.32
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA2HD_87.mp3","CA2HD_87.mp3","CA2HD_87",1879.2
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA2HE_05.mp3","CA2HE_05.mp3","CA2HE_05",2857.93
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA3HA_87.mp3","CA3HA_87.mp3","CA3HA_87",1937.37
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA3HB_08.mp3","CA3HB_08.mp3","CA3HB_08",2798.6
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA3HB_87.mp3","CA3HB_87.mp3","CA3HB_87",1894.58
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CA3HC_08.mp3","CA3HC_08.mp3","CA3HC_08",2775.64
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB1HB_87.mp3","CB1HB_87.mp3","CB1HB_87",1898.16
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB1HC_87.mp3","CB1HC_87.mp3","CB1HC_87",1912.4
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB1HE_08.mp3","CB1HE_08.mp3","CB1HE_08",3483.76
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB1HF_08.mp3","CB1HF_08.mp3","CB1HF_08",2785.14
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB2HB_87.mp3","CB2HB_87.mp3","CB2HB_87",1814.67
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB2HD_87.mp3","CB2HD_87.mp3","CB2HD_87",1804.43
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB2HG_08.mp3","CB2HG_08.mp3","CB2HG_08",2880.63
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB2HI_09.mp3","CB2HI_09.mp3","CB2HI_09",2877.54
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB3HA_87.mp3","CB3HA_87.mp3","CB3HA_87",1872.88
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB3HD_08.mp3","CB3HD_08.mp3","CB3HD_08",2844
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB3HD_87.mp3","CB3HD_87.mp3","CB3HD_87",1846.94
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/0. 10 minutos hombres jóvenes & de edad media/CB3HE_09.mp3","CB3HE_09.mp3","CB3HE_09",2981.41
